"Julkisyhteisöjen menot tehtävittäin 1990-2014"

"Sektori";"Tehtävä";"Taloustoimi";"Tiedot";"2014"
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D29K Muut tuotantoverot";"Käypiin hintoihin";3
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D4K Omaisuusmenot";"Käypiin hintoihin";1
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";1
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";31
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";22
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";22
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";1
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";921
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";921
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";3
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"P3K Kulutusmenot";"Käypiin hintoihin";3346
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"NETEXP Nettomenot";"Käypiin hintoihin";3790
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";3789
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"TOTEXP Kokonaismenot";"Käypiin hintoihin";7839
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";7838
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";654
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";527
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";127
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"P2K Välituotekäyttö";"Käypiin hintoihin";290
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";9
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";1
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";47
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";44
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";995
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";995
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"P3K Kulutusmenot";"Käypiin hintoihin";918
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"NETEXP Nettomenot";"Käypiin hintoihin";1034
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";1031
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"TOTEXP Kokonaismenot";"Käypiin hintoihin";1996
"S13 Julkisyhteisöt";"G0104  Perustutkimus";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";1993
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";17
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";13
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";4
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"P2K Välituotekäyttö";"Käypiin hintoihin";3
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";18
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";18
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"P3K Kulutusmenot";"Käypiin hintoihin";20
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"NETEXP Nettomenot";"Käypiin hintoihin";20
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";20
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"TOTEXP Kokonaismenot";"Käypiin hintoihin";38
"S13 Julkisyhteisöt";"G0105  Yleisen julkishallinnon tutkimus ja kehittäminen";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";38
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";2
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";2
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"P2K Välituotekäyttö";"Käypiin hintoihin";8
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D4K Omaisuusmenot";"Käypiin hintoihin";5
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";5
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";8
"S13 Julkisyhteisöt";"G0106  Muut yleisen julkishallinnon palvelut";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";.
