"Julkisyhteisöjen kokonaistulot ja -menot 1975-2015"

"Sektori";"Taloustoimi";"Tiedot";"2014"
"S13149 Muut sosiaaliturvarahastot";"D7R Saadut muut tulonsiirrot";"Käypiin hintoihin";11921
"S13149 Muut sosiaaliturvarahastot";"D7SR Saadut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";4
"S13149 Muut sosiaaliturvarahastot";"D9R Saadut pääomansiirrot";"Käypiin hintoihin";0
"S13149 Muut sosiaaliturvarahastot";"D9SR Saadut pääomansiirrot, sulautettu";"Käypiin hintoihin";0
"S13149 Muut sosiaaliturvarahastot";"TOTREV Kokonaistulot";"Käypiin hintoihin";17862
"S13149 Muut sosiaaliturvarahastot";"TOTREVS Kokonaistulot, sulautettu";"Käypiin hintoihin";.
"S13149 Muut sosiaaliturvarahastot";"P2K Välituotekäyttö";"Käypiin hintoihin";206
"S13149 Muut sosiaaliturvarahastot";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";327
"S13149 Muut sosiaaliturvarahastot";"D29K Muut tuotantoverot";"Käypiin hintoihin";0
"S13149 Muut sosiaaliturvarahastot";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S13149 Muut sosiaaliturvarahastot";"D4K Omaisuusmenot";"Käypiin hintoihin";5
"S13149 Muut sosiaaliturvarahastot";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";5
"S13149 Muut sosiaaliturvarahastot";"D411KJ Julkisyhteisöjen väliset korot, maksetut";"Käypiin hintoihin";.
"S13149 Muut sosiaaliturvarahastot";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S13149 Muut sosiaaliturvarahastot";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";14346
"S13149 Muut sosiaaliturvarahastot";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";2291
"S13149 Muut sosiaaliturvarahastot";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";1310
"S13149 Muut sosiaaliturvarahastot";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";314
"S13149 Muut sosiaaliturvarahastot";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";16
"S13149 Muut sosiaaliturvarahastot";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";0
"S13149 Muut sosiaaliturvarahastot";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";16
"S13149 Muut sosiaaliturvarahastot";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";0
"S13149 Muut sosiaaliturvarahastot";"TOTEXP Kokonaismenot";"Käypiin hintoihin";18517
"S13149 Muut sosiaaliturvarahastot";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";.
"S13149 Muut sosiaaliturvarahastot";"B9T Nettoluotonanto (+) / nettoluotonotto (-)";"Käypiin hintoihin";-655
